Time (s),Thrust (N),Theta,Phi
0,2651.855,0,1
0.249,2780.285,0,1
0.416,2820.733,0,1
0.583,2843.01,0,1
0.751,2847.765,0,1
0.918,2851.215,0,1
1.084,2854.737,0,1
1.252,2861.69,0,1
1.42,2858.088,0,1
1.586,2851.086,0,1
1.754,2844.622,0,1
1.922,2830.855,0,1
2.089,2804.711,0,1
2.255,2765.796,0,1
2.423,2710.509,0,1
2.591,2648.262,0,1
2.757,2586.91,0,1
2.925,2520.794,0,1
3.093,2462.217,0,1
3.259,2419.937,0,1
3.426,1894.936,0,1
3.594,808.043,0,1
3.761,282.403,0,1
3.928,97.876,0,1
4.096,24.492,0,1
4.264,0,0,1
